Dates,RF Actual Level (mm),Last 10 Year Average (m bgl),Last Year  (m bgl),Current Level (m bgl)
"01-Jan-2014",0,NaN,"-","-"
"02-Jan-2014",0,NaN,"-","-"
"03-Jan-2014",0,NaN,"-","-"
"04-Jan-2014",0,14.03,14.89108974326415,16.788963406205607
"05-Jan-2014",0,NaN,"-","-"
"06-Jan-2014",0,NaN,"-","-"
"07-Jan-2014",0,NaN,"-","-"
"08-Jan-2014",0,NaN,"-","-"
"09-Jan-2014",0,NaN,"-","-"
"10-Jan-2014",0,NaN,"-","-"
"11-Jan-2014",0,NaN,"-","-"
"12-Jan-2014",0,NaN,"-","-"
"13-Jan-2014",0,NaN,"-","-"
"14-Jan-2014",0,NaN,"-","-"
"15-Jan-2014",0,NaN,"-","-"
"16-Jan-2014",0,NaN,"-","-"
"17-Jan-2014",0,NaN,"-","-"
"18-Jan-2014",0,NaN,"-","-"
"19-Jan-2014",0,NaN,"-","-"
"20-Jan-2014",0,NaN,"-","-"
"21-Jan-2014",0,NaN,"-","-"
"22-Jan-2014",0,NaN,"-","-"
"23-Jan-2014",0,NaN,"-","-"
"24-Jan-2014",0,NaN,"-","-"
"25-Jan-2014",0,NaN,"-","-"
"26-Jan-2014",0,NaN,"-","-"
"27-Jan-2014",0,NaN,"-","-"
"28-Jan-2014",0,NaN,"-","-"
"29-Jan-2014",0,NaN,"-","-"
"30-Jan-2014",0,NaN,"-","-"
"31-Jan-2014",0,NaN,"-","-"
"01-Feb-2014",0,NaN,"-","-"
"02-Feb-2014",0,NaN,"-","-"
"03-Feb-2014",0,NaN,"-","-"
"04-Feb-2014",0,NaN,"-","-"
"05-Feb-2014",0,NaN,"-","-"
"06-Feb-2014",0,NaN,"-","-"
"07-Feb-2014",0,NaN,"-","-"
"08-Feb-2014",0,NaN,"-","-"
"09-Feb-2014",0,NaN,"-","-"
"10-Feb-2014",0,NaN,"-","-"
"11-Feb-2014",0,NaN,"-","-"
"12-Feb-2014",0,NaN,"-","-"
"13-Feb-2014",0,NaN,"-","-"
"14-Feb-2014",0,NaN,"-","-"
"15-Feb-2014",0,NaN,"-","-"
"16-Feb-2014",0,NaN,"-","-"
"17-Feb-2014",0,NaN,"-","-"
"18-Feb-2014",0,NaN,"-","-"
"19-Feb-2014",0,NaN,"-","-"
"20-Feb-2014",0,NaN,"-","-"
"21-Feb-2014",0,NaN,"-","-"
"22-Feb-2014",0,NaN,"-","-"
"23-Feb-2014",0,NaN,"-","-"
"24-Feb-2014",0,NaN,"-","-"
"25-Feb-2014",0.1,NaN,"-","-"
"26-Feb-2014",0,NaN,"-","-"
"27-Feb-2014",0,NaN,"-","-"
