Dates,Evapo-Transpiration (mm)
"01-Jun-2018",3.0430281288
"02-Jun-2018",4.0302534592
"03-Jun-2018",2.1080956645
"04-Jun-2018",1.9015131338
"05-Jun-2018",1.2768475276
"06-Jun-2018",1.6360328841
"07-Jun-2018",1.5111951637
"08-Jun-2018",1.8600794409
"09-Jun-2018",1.7689345146
"10-Jun-2018",2.1500993489
"11-Jun-2018",2.140542185
"12-Jun-2018",1.6105079248
"13-Jun-2018",3.0574950357
"14-Jun-2018",2.3438073597
"15-Jun-2018",4.0542431703
"16-Jun-2018",3.7920859097
"17-Jun-2018",3.1324019236
"18-Jun-2018",3.2637791157
"19-Jun-2018",2.3662802593
"20-Jun-2018",1.175502245
"21-Jun-2018",1.741685142
"22-Jun-2018",2.9030666388
"23-Jun-2018",3.0022567093
"24-Jun-2018",3.7481724293
"25-Jun-2018",2.2598249231
"26-Jun-2018",2.0323817542
"27-Jun-2018",1.9227623902
"28-Jun-2018",2.0761857015
"29-Jun-2018",2.7750649608
"30-Jun-2018",3.5080241932
"01-Jul-2018",3.5061304103
"02-Jul-2018",3.6156526011
"03-Jul-2018",3.0204107647
"04-Jul-2018",3.5478380546
"05-Jul-2018",3.3516050725
"06-Jul-2018",1.8468635333
"07-Jul-2018",2.6057635713
"08-Jul-2018",2.6209145838
"09-Jul-2018",2.3469848352
"10-Jul-2018",1.9262305284
"11-Jul-2018",1.8019518543
"12-Jul-2018",2.1422449158
"13-Jul-2018",2.0630717992
"14-Jul-2018",1.2196167699
"15-Jul-2018",1.8786986702
"16-Jul-2018",1.9055016915
"17-Jul-2018",1.550537079
"18-Jul-2018",2.2341693025
"19-Jul-2018",1.5955587938
"20-Jul-2018",1.5922021709
"21-Jul-2018",2.0465911853
"22-Jul-2018",2.613805219
"23-Jul-2018",1.8693914845
"24-Jul-2018",1.3484015936
"25-Jul-2018",1.931862182
"26-Jul-2018",2.4676458254
"27-Jul-2018",2.5448512664
"28-Jul-2018",2.5188357948
"29-Jul-2018",2.3997689976
