Dates,Evapo-Transpiration (mm)
"01-Jun-2018",3.3742113419
"02-Jun-2018",4.260392659
"03-Jun-2018",2.1844279019
"04-Jun-2018",2.3967679971
"05-Jun-2018",1.279415536
"06-Jun-2018",1.3598732908
"07-Jun-2018",1.5948278907
"08-Jun-2018",1.8520706867
"09-Jun-2018",1.8882914991
"10-Jun-2018",1.8041758612
"11-Jun-2018",2.6720710349
"12-Jun-2018",1.4912269064
"13-Jun-2018",3.7277279964
"14-Jun-2018",3.1249521518
"15-Jun-2018",3.835651582
"16-Jun-2018",4.0059980059
"17-Jun-2018",3.8244775171
"18-Jun-2018",4.0634624431
"19-Jun-2018",3.3582611402
"20-Jun-2018",0.9760608583
"21-Jun-2018",1.7771592583
"22-Jun-2018",2.9480591333
"23-Jun-2018",2.6043854213
"24-Jun-2018",3.8557892172
"25-Jun-2018",2.8696969087
"26-Jun-2018",1.7073722752
"27-Jun-2018",2.0122910723
"28-Jun-2018",2.0704900069
"29-Jun-2018",2.9137151968
"30-Jun-2018",3.3308460806
"01-Jul-2018",3.4613274147
"02-Jul-2018",3.7790918553
"03-Jul-2018",3.6383297905
"04-Jul-2018",3.3572561752
"05-Jul-2018",3.8756094724
"06-Jul-2018",1.8785716373
"07-Jul-2018",2.3595779876
"08-Jul-2018",2.3552533087
"09-Jul-2018",2.5749451304
"10-Jul-2018",2.1463538767
"11-Jul-2018",2.1620968848
"12-Jul-2018",2.0279924127
"13-Jul-2018",2.109139469
"14-Jul-2018",1.2178884559
"15-Jul-2018",1.7985045371
"16-Jul-2018",2.2225937831
"17-Jul-2018",1.6246187386
"18-Jul-2018",2.5969680031
"19-Jul-2018",1.9641714211
"20-Jul-2018",1.4901717255
"21-Jul-2018",2.0899776427
"22-Jul-2018",2.5303241876
"23-Jul-2018",2.1837768304
"24-Jul-2018",1.6252214513
"25-Jul-2018",3.0626386364
"26-Jul-2018",3.4164646661
"27-Jul-2018",3.3003590595
"28-Jul-2018",2.8013163119
"29-Jul-2018",3.1319140594
"30-Jul-2018",3.0339942608
"31-Jul-2018",2.7592515581
"01-Aug-2018",2.1494009133
"02-Aug-2018",3.5769692875
"03-Aug-2018",2.9558050691
"04-Aug-2018",2.8488124384
"05-Aug-2018",3.1866655294
"06-Aug-2018",0.9837635794
"07-Aug-2018",2.1238955929
"08-Aug-2018",1.9742539163
"09-Aug-2018",2.3683436207
"10-Aug-2018",2.1953054113
"11-Aug-2018",1.5377767302
"12-Aug-2018",1.5715704251
"13-Aug-2018",1.5741062367
"14-Aug-2018",1.3556576069
"15-Aug-2018",1.4804126749
"16-Aug-2018",1.5332574854
"17-Aug-2018",2.2224049752
"18-Aug-2018",1.8533777224
"19-Aug-2018",2.1265293779
"20-Aug-2018",2.049314375
"21-Aug-2018",3.5571147041
"22-Aug-2018",3.0629718265
"23-Aug-2018",3.18084707
"24-Aug-2018",2.9210853385
"25-Aug-2018",2.8429019187
"26-Aug-2018",2.3659942209
"27-Aug-2018",1.9980663237
"28-Aug-2018",1.8998011895
