Dates,Current Year Level (m),Last Year Level (m),Last 10 Year Average Level (m),Full Reservoir Level (m),Last 10 Year Average Storage (BCM),Last Year Storage (BCM),Current Year Storage (BCM)
"01-Jan-2001",749.78,0,749.78,752.5,0.84,0,0.84
"02-Jan-2001",749.74,0,749.74,752.5,0.839,0,0.839
"03-Jan-2001",749.73,0,749.73,752.5,0.837,0,0.837
"04-Jan-2001",749.73,0,749.73,752.5,0.835,0,0.835
"05-Jan-2001",749.71,0,749.71,752.5,0.833,0,0.833
"06-Jan-2001",749.68,0,749.68,752.5,0.83,0,0.83
"07-Jan-2001",749.66,0,749.66,752.5,0.828,0,0.828
"08-Jan-2001",749.63,0,749.63,752.5,0.825,0,0.825
"09-Jan-2001",749.61,0,749.61,752.5,0.822,0,0.822
"10-Jan-2001",749.55,0,749.55,752.5,0.819,0,0.819
"11-Jan-2001",749.52,0,749.52,752.5,0.816,0,0.816
"12-Jan-2001",749.52,0,749.52,752.5,0.813,0,0.813
"13-Jan-2001",749.46,0,749.46,752.5,0.807,0,0.807
"14-Jan-2001",749.37,0,749.37,752.5,0.798,0,0.798
"15-Jan-2001",749.29,0,749.29,752.5,0.789,0,0.789
"16-Jan-2001",749.22,0,749.22,752.5,0.782,0,0.782
"17-Jan-2001",749.15,0,749.15,752.5,0.775,0,0.775
"18-Jan-2001",748.97,0,748.97,752.5,0.766,0,0.766
"19-Jan-2001",748.88,0,748.88,752.5,0.757,0,0.757
"20-Jan-2001",748.88,0,748.88,752.5,0.748,0,0.748
"21-Jan-2001",748.8,0,748.8,752.5,0.739,0,0.739
"22-Jan-2001",748.72,0,748.72,752.5,0.731,0,0.731
"23-Jan-2001",748.63,0,748.63,752.5,0.723,0,0.723
"24-Jan-2001",748.47,0,748.47,752.5,0.715,0,0.715
"25-Jan-2001",748.38,0,748.38,752.5,0.707,0,0.707
"26-Jan-2001",748.38,0,748.38,752.5,0.698,0,0.698
"27-Jan-2001",748.3,0,748.3,752.5,0.69,0,0.69
"28-Jan-2001",748.23,0,748.23,752.5,0.683,0,0.683
"29-Jan-2001",748.15,0,748.15,752.5,0.676,0,0.676
"30-Jan-2001",748.05,0,748.05,752.5,0.669,0,0.669
"31-Jan-2001",747.99,0,747.99,752.5,0.662,0,0.662
"01-Feb-2001",747.92,0,747.92,752.5,0.655,0,0.655
"02-Feb-2001",747.85,0,747.85,752.5,0.652,0,0.652
"03-Feb-2001",747.83,0,747.83,752.5,0.649,0,0.649
"04-Feb-2001",747.82,0,747.82,752.5,0.645,0,0.645
"05-Feb-2001",747.79,0,747.79,752.5,0.642,0,0.642
"06-Feb-2001",747.74,0,747.74,752.5,0.638,0,0.638
"07-Feb-2001",747.67,0,747.67,752.5,0.632,0,0.632
"08-Feb-2001",747.56,0,747.56,752.5,0.621,0,0.621
"09-Feb-2001",747.33,0,747.33,752.5,0.611,0,0.611
"10-Feb-2001",747.21,0,747.21,752.5,0.601,0,0.601
"11-Feb-2001",747.21,0,747.21,752.5,0.591,0,0.591
"12-Feb-2001",747.1,0,747.1,752.5,0.581,0,0.581
"13-Feb-2001",746.99,0,746.99,752.5,0.571,0,0.571
"14-Feb-2001",746.88,0,746.88,752.5,0.556,0,0.556
"15-Feb-2001",746.66,0,746.66,752.5,0.552,0,0.552
"16-Feb-2001",746.55,0,746.55,752.5,0.543,0,0.543
"17-Feb-2001",746.55,0,746.55,752.5,0.534,0,0.534
"18-Feb-2001",746.44,0,746.44,752.5,0.524,0,0.524
"19-Feb-2001",746.33,0,746.33,752.5,0.516,0,0.516
"20-Feb-2001",746.32,0,746.32,752.5,0.507,0,0.507
"21-Feb-2001",746.31,0,746.31,752.5,0.498,0,0.498
"22-Feb-2001",745.99,0,745.99,752.5,0.48,0,0.48
"23-Feb-2001",745.94,0,745.94,752.5,0.478,0,0.478
"24-Feb-2001",745.89,0,745.89,752.5,0.475,0,0.475
"25-Feb-2001",745.85,0,745.85,752.5,0.473,0,0.473
"26-Feb-2001",745.8,0,745.8,752.5,0.47,0,0.47
"27-Feb-2001",745.75,0,745.75,752.5,0.467,0,0.467
"28-Feb-2001",745.7,0,745.7,752.5,0.465,0,0.465
"01-Mar-2001",745.66,0,745.66,752.5,0.462,0,0.462
"02-Mar-2001",745.62,0,745.62,752.5,0.459,0,0.459
"03-Mar-2001",745.57,0,745.57,752.5,0.456,0,0.456
"04-Mar-2001",745.5,0,745.5,752.5,0.45,0,0.45
"05-Mar-2001",745.38,0,745.38,752.5,0.441,0,0.441
"06-Mar-2001",745.45,0,745.45,752.5,0.433,0,0.433
"07-Mar-2001",745.15,0,745.15,752.5,0.424,0,0.424
"08-Mar-2001",745.04,0,745.04,752.5,0.416,0,0.416
"09-Mar-2001",744.93,0,744.93,752.5,0.408,0,0.408
"10-Mar-2001",744.82,0,744.82,752.5,0.4,0,0.4
"11-Mar-2001",744.72,0,744.72,752.5,0.393,0,0.393
"12-Mar-2001",744.61,0,744.61,752.5,0.386,0,0.386
"13-Mar-2001",744.52,0,744.52,752.5,0.378,0,0.378
"14-Mar-2001",744.39,0,744.39,752.5,0.369,0,0.369
"15-Mar-2001",743.25,0,743.25,752.5,0.36,0,0.36
"16-Mar-2001",743.51,0,743.51,752.5,0.35,0,0.35
"17-Mar-2001",743.97,0,743.97,752.5,0.341,0,0.341
"18-Mar-2001",743.83,0,743.83,752.5,0.331,0,0.331
"19-Mar-2001",743.69,0,743.69,752.5,0.322,0,0.322
"20-Mar-2001",743.54,0,743.54,752.5,0.313,0,0.313
"21-Mar-2001",743.4,0,743.4,752.5,0.304,0,0.304
"22-Mar-2001",743.29,0,743.29,752.5,0.295,0,0.295
