Dates,NORMAL (mm) ,ACTUAL (mm) 
Jan-13,2.7,0
Feb-13,4.6,5.64
Mar-13,13.2,11.37
Apr-13,65.3,60.08
May-13,137.6,88.61
Jun-13,69.5,94.88
Jul-13,103.8,127.16
Aug-13,69.9,70.3
Sep-13,98.9,132.21
Oct-13,144.8,120.24
Nov-13,52,43.53
Dec-13,14.4,1.54
Jan-14,2.7,0.15
Feb-14,4.6,2.07
Mar-14,13.2,14.98
Apr-14,65.3,48
May-14,137.6,140.86
Jun-14,69.5,66.86
Jul-14,103.8,114.45
Aug-14,69.9,153.97
Sep-14,98.9,169.32
Oct-14,144.8,171.49
Nov-14,52,6.39
Dec-14,14.4,21.07
Jan-15,2.7,0.83
Feb-15,4.6,0.05
Mar-15,13.2,24.82
Apr-15,65.3,92.09
May-15,137.6,168.65
Jun-15,69.5,142.8
Jul-15,103.8,26.81
Aug-15,69.9,109.27
Sep-15,98.9,112.95
Oct-15,144.8,97.27
Nov-15,52,153.92
Dec-15,14.4,8.97
Jan-16,2.7,5.11
Feb-16,4.6,0.7
Mar-16,13.2,6.72
Apr-16,65.3,19.77
May-16,137.6,94.41
Jun-16,69.5,116.46
Jul-16,103.8,119.67
Aug-16,69.9,30.21
Sep-16,98.9,28.83
Oct-16,144.8,23.2
Nov-16,52,8.03
Dec-16,14.4,32.84
Jan-17,2.7,13.45
Feb-17,4.6,0
Mar-17,13.2,20.41
Apr-17,65.3,85.19
May-17,137.6,184.74
Jun-17,69.5,52.65
Jul-17,103.8,62.8
Aug-17,69.9,167.8
Sep-17,98.9,206.32
Oct-17,144.8,118
Nov-17,52,13.49
Dec-17,14.4,5.89
Jan-18,2.7,0
Feb-18,4.6,3.02
Mar-18,13.2,36.84
Apr-18,65.3,61.13
May-18,137.6,250.29
Jun-18,69.5,135.37
Jul-18,103.8,151.4
Aug-18,69.9,154.1
Sep-18,98.9,93.19
Oct-18,144.8,159.2
Nov-18,52,19.13
Dec-18,14.4,2.55
Jan-19,2.7,0.17
Feb-19,4.6,9.57
Mar-19,13.2,4.12
Apr-19,65.3,62.93
May-19,137.6,166.82
Jun-19,69.5,70.65
Jul-19,103.8,108.22
Aug-19,69.9,339.03
Sep-19,98.9,145.52
Oct-19,144.8,211.31
Nov-19,52,70.27
Dec-19,14.4,15.25
Jan-20,2.7,0.13
Feb-20,4.6,3.53
Mar-20,13.2,17.03
Apr-20,65.3,60.34
May-20,137.6,143.42
Jun-20,69.5,84.99
Jul-20,103.8,79.58
Aug-20,69.9,138.69
Sep-20,98.9,164
Oct-20,144.8,111.77
Nov-20,52,49.72
Dec-20,14.4,21.09
Jan-21,0,18.24
Feb-21,0,13.66
Mar-21,0,3.99
Apr-21,0,61.66
May-21,0,55.98
