Dates,Evapo-Transpiration (mm)
"01-Jun-2018",3.3898665282
"02-Jun-2018",3.9075143282
"03-Jun-2018",2.1403448239
"04-Jun-2018",2.3754481326
"05-Jun-2018",1.0401415616
"06-Jun-2018",1.5032783197
"07-Jun-2018",1.5340018446
"08-Jun-2018",1.830309349
"09-Jun-2018",1.8484561716
"10-Jun-2018",2.0135793203
"11-Jun-2018",2.2991493394
"12-Jun-2018",1.4715120654
"13-Jun-2018",3.8382209312
"14-Jun-2018",2.601434165
"15-Jun-2018",4.1194892249
"16-Jun-2018",4.0310950097
"17-Jun-2018",3.4569282306
"18-Jun-2018",3.9579191061
"19-Jun-2018",3.5286928982
"20-Jun-2018",0.8315569222
"21-Jun-2018",1.7206052514
"22-Jun-2018",3.5116909262
"23-Jun-2018",2.9650708957
"24-Jun-2018",3.6703490463
"25-Jun-2018",3.0956056793
"26-Jun-2018",2.6545205072
"27-Jun-2018",2.0235407639
"28-Jun-2018",2.0123982284
"29-Jun-2018",2.5674219162
"30-Jun-2018",3.1582564671
"01-Jul-2018",3.0521733481
"02-Jul-2018",3.4306434821
"03-Jul-2018",3.7824220888
"04-Jul-2018",3.5976149677
"05-Jul-2018",3.9227616379
"06-Jul-2018",2.3589603691
"07-Jul-2018",2.4354330389
"08-Jul-2018",2.8503550514
"09-Jul-2018",2.4258212404
"10-Jul-2018",2.3270212798
"11-Jul-2018",1.9514046331
"12-Jul-2018",2.312988301
"13-Jul-2018",2.2987687
"14-Jul-2018",1.1079959557
"15-Jul-2018",2.1872892163
"16-Jul-2018",2.1559032318
"17-Jul-2018",1.910966962
"18-Jul-2018",2.7700037467
"19-Jul-2018",1.9811989072
"20-Jul-2018",1.3969202777
"21-Jul-2018",2.089569355
"22-Jul-2018",3.1664783424
"23-Jul-2018",2.7165635172
"24-Jul-2018",1.519170573
"25-Jul-2018",2.9852609624
"26-Jul-2018",3.377686338
"27-Jul-2018",2.8531598442
"28-Jul-2018",2.9786730859
"29-Jul-2018",2.8728331921
"30-Jul-2018",2.9282710378
"31-Jul-2018",2.7961365856
"01-Aug-2018",2.3205673378
"02-Aug-2018",3.1427615961
"03-Aug-2018",3.1796746684
"04-Aug-2018",2.9850269868
"05-Aug-2018",3.1935950591
"06-Aug-2018",1.0025798293
"07-Aug-2018",1.8804509388
"08-Aug-2018",1.807161066
"09-Aug-2018",2.56317678
"10-Aug-2018",2.1286652421
"11-Aug-2018",1.31834175
"12-Aug-2018",1.9503352632
"13-Aug-2018",1.7157096909
"14-Aug-2018",1.4416142504
"15-Aug-2018",1.4022956617
"16-Aug-2018",1.195542372
"17-Aug-2018",2.0063790578
"18-Aug-2018",2.1728342235
"19-Aug-2018",2.1100073502
"20-Aug-2018",2.2088610544
"21-Aug-2018",3.6761800763
"22-Aug-2018",3.2865117823
"23-Aug-2018",3.2930727826
"24-Aug-2018",3.1983277437
"25-Aug-2018",2.3911571553
"26-Aug-2018",2.4582812084
"27-Aug-2018",2.1834055463
"28-Aug-2018",2.2421864152
"29-Aug-2018",2.4777695202
"30-Aug-2018",3.0091438592
"31-Aug-2018",2.8685628942
"01-Sep-2018",3.5834924437
"02-Sep-2018",3.2581606738
"03-Sep-2018",3.6738467557
"04-Sep-2018",3.6020100436
"05-Sep-2018",2.8959214116
"06-Sep-2018",3.0788776955
"07-Sep-2018",2.7323863427
"08-Sep-2018",2.7292670099
"09-Sep-2018",2.8365328909
"10-Sep-2018",2.0310480416
"11-Sep-2018",0.7760610482
"12-Sep-2018",2.3985891829
"13-Sep-2018",1.7994925186
"14-Sep-2018",2.1129465735
"15-Sep-2018",2.0531166531
"16-Sep-2018",2.7908249967
"17-Sep-2018",1.9953240444
"18-Sep-2018",3.2489561907
"19-Sep-2018",2.9507289362
"20-Sep-2018",3.0843607538
"21-Sep-2018",2.9939747232
"22-Sep-2018",3.0119366031
"23-Sep-2018",2.1079868394
"24-Sep-2018",1.8293384754
"25-Sep-2018",3.4067280309
"26-Sep-2018",2.7353721161
"27-Sep-2018",3.3699652612
"28-Sep-2018",3.0241395659
"29-Sep-2018",2.9560427782
"30-Sep-2018",3.0452496116
"01-Oct-2018",3.2942027818
"02-Oct-2018",1.333061289
"03-Oct-2018",2.9511814895
"04-Oct-2018",2.2116339607
"05-Oct-2018",1.9865562148
"06-Oct-2018",2.644024973
"07-Oct-2018",3.1499008044
"08-Oct-2018",2.7500597507
"09-Oct-2018",2.6443993909
"10-Oct-2018",3.0454356363
"11-Oct-2018",3.786070715
"12-Oct-2018",3.5622925398
"13-Oct-2018",2.5309438955
"14-Oct-2018",2.2766961225
"15-Oct-2018",2.5950147269
"16-Oct-2018",2.1918344411
"17-Oct-2018",2.5396721544
"18-Oct-2018",3.2757228159
"19-Oct-2018",2.1926273864
"20-Oct-2018",2.7235379356
"21-Oct-2018",3.2978901812
"22-Oct-2018",2.9726123372
"23-Oct-2018",3.279043614
"24-Oct-2018",3.0847126817
"25-Oct-2018",2.9804904622
"26-Oct-2018",2.6583944729
"27-Oct-2018",2.301917148
"28-Oct-2018",2.3908270989
"29-Oct-2018",2.4585032301
"30-Oct-2018",2.4156874784
"31-Oct-2018",1.9184433553
"01-Nov-2018",2.0521879581
"02-Nov-2018",1.9377870853
"03-Nov-2018",1.5518258736
"04-Nov-2018",1.8347251876
"05-Nov-2018",1.8064926322
"06-Nov-2018",0.7642049815
"07-Nov-2018",1.9636427264
"08-Nov-2018",1.7930915489
"09-Nov-2018",1.9387174873
"10-Nov-2018",1.8066710929
"11-Nov-2018",0.7270119913
"12-Nov-2018",1.6245256594
"13-Nov-2018",1.8454528743
"14-Nov-2018",0.6769334562
"15-Nov-2018",1.881698978
"16-Nov-2018",0.6910505166
"17-Nov-2018",1.4213476432
"18-Nov-2018",1.3935151796
"19-Nov-2018",1.1652934974
"20-Nov-2018",1.2534116244
"21-Nov-2018",1.4558551759
"22-Nov-2018",0.8323650637
"23-Nov-2018",1.3521026761
"24-Nov-2018",0.8024320842
"25-Nov-2018",0.840129586
"26-Nov-2018",2.0942712544
"27-Nov-2018",2.0406687064
"28-Nov-2018",2.0415031048
"29-Nov-2018",1.5725047168
"30-Nov-2018",0.9106853334
"01-Dec-2018",2.0103117882
"02-Dec-2018",2.0104809589
"03-Dec-2018",2.0400885869
"04-Dec-2018",0.7341057467
"05-Dec-2018",1.5869235933
"06-Dec-2018",1.6561597928
"07-Dec-2018",1.4792091725
"08-Dec-2018",1.9242546575
"09-Dec-2018",1.8028317756
"10-Dec-2018",1.8664763589
"11-Dec-2018",1.6963664818
"12-Dec-2018",1.6683074377
"13-Dec-2018",1.7052167228
"14-Dec-2018",1.527590464
"15-Dec-2018",1.36555385
"16-Dec-2018",1.326664022
"17-Dec-2018",1.3072806134
"18-Dec-2018",1.426010191
"19-Dec-2018",1.2617185236
"20-Dec-2018",1.2545599275
"21-Dec-2018",1.2661580984
"22-Dec-2018",1.0958323457
"23-Dec-2018",0.8523682017
"24-Dec-2018",0.9332911899
"25-Dec-2018",1.0842301063
"26-Dec-2018",0.4931693193
"27-Dec-2018",0.495899629
"28-Dec-2018",1.0076998063
"29-Dec-2018",0.7528097902
"30-Dec-2018",0.8221403307
"31-Dec-2018",0.5269896263
"01-Jan-2019",2.0282748003
"02-Jan-2019",2.0828802921
"03-Jan-2019",2.1197924524
"04-Jan-2019",2.1159864307
"05-Jan-2019",2.1061589139
"06-Jan-2019",2.1896398864
"07-Jan-2019",2.1920470175
"08-Jan-2019",0.4553470599
"09-Jan-2019",2.2058497429
"10-Jan-2019",2.2506729108
"11-Jan-2019",2.2925410845
"12-Jan-2019",2.3159346287
"13-Jan-2019",2.2863790827
"14-Jan-2019",2.3122562627
"15-Jan-2019",2.3045997332
"16-Jan-2019",2.2833068929
"17-Jan-2019",2.3007899736
