,Temperature - (Celsius), Year, Statistics, Longitude, Latitude
0,23.399999618529996,1991.0, Jan Average,76.5724,12.4255
1,25.200000762939,1991.0, Feb Average,76.5724,12.4255
2,27.600000381470004,1991.0, Mar Average,76.5724,12.4255
3,28.5,1991.0, Apr Average,76.5724,12.4255
4,27.899999618529996,1991.0, May Average,76.5724,12.4255
5,24.700000762939,1991.0, Jun Average,76.5724,12.4255
6,23.899999618529996,1991.0, Jul Average,76.5724,12.4255
7,23.899999618529996,1991.0, Aug Average,76.5724,12.4255
8,25.300001144409,1991.0, Sep Average,76.5724,12.4255
9,24.399999618529996,1991.0, Oct Average,76.5724,12.4255
10,23.300001144409,1991.0, Nov Average,76.5724,12.4255
11,22.399999618529996,1991.0, Dec Average,76.5724,12.4255
12,22.200000762939,1992.0, Jan Average,76.5724,12.4255
13,24.899999618529996,1992.0, Feb Average,76.5724,12.4255
14,26.700000762939,1992.0, Mar Average,76.5724,12.4255
15,28.300001144409,1992.0, Apr Average,76.5724,12.4255
16,27.100000381470004,1992.0, May Average,76.5724,12.4255
17,25.100000381470004,1992.0, Jun Average,76.5724,12.4255
18,24.100000381470004,1992.0, Jul Average,76.5724,12.4255
19,24.0,1992.0, Aug Average,76.5724,12.4255
20,24.700000762939,1992.0, Sep Average,76.5724,12.4255
21,24.5,1992.0, Oct Average,76.5724,12.4255
22,23.700000762939,1992.0, Nov Average,76.5724,12.4255
23,22.0,1992.0, Dec Average,76.5724,12.4255
24,22.5,1993.0, Jan Average,76.5724,12.4255
25,24.800001144409,1993.0, Feb Average,76.5724,12.4255
26,27.0,1993.0, Mar Average,76.5724,12.4255
27,28.300001144409,1993.0, Apr Average,76.5724,12.4255
28,27.800001144409,1993.0, May Average,76.5724,12.4255
29,25.300001144409,1993.0, Jun Average,76.5724,12.4255
30,24.0,1993.0, Jul Average,76.5724,12.4255
31,24.300001144409,1993.0, Aug Average,76.5724,12.4255
32,24.600000381470004,1993.0, Sep Average,76.5724,12.4255
33,24.399999618529996,1993.0, Oct Average,76.5724,12.4255
34,23.399999618529996,1993.0, Nov Average,76.5724,12.4255
35,22.100000381470004,1993.0, Dec Average,76.5724,12.4255
36,23.0,1994.0, Jan Average,76.5724,12.4255
37,25.0,1994.0, Feb Average,76.5724,12.4255
38,27.200000762939,1994.0, Mar Average,76.5724,12.4255
39,28.100000381470004,1994.0, Apr Average,76.5724,12.4255
40,27.600000381470004,1994.0, May Average,76.5724,12.4255
41,25.100000381470004,1994.0, Jun Average,76.5724,12.4255
42,23.800001144409,1994.0, Jul Average,76.5724,12.4255
43,24.300001144409,1994.0, Aug Average,76.5724,12.4255
44,25.0,1994.0, Sep Average,76.5724,12.4255
45,24.300001144409,1994.0, Oct Average,76.5724,12.4255
46,23.0,1994.0, Nov Average,76.5724,12.4255
47,22.0,1994.0, Dec Average,76.5724,12.4255
48,22.700000762939,1995.0, Jan Average,76.5724,12.4255
49,25.200000762939,1995.0, Feb Average,76.5724,12.4255
50,26.899999618529996,1995.0, Mar Average,76.5724,12.4255
51,28.100000381470004,1995.0, Apr Average,76.5724,12.4255
52,26.5,1995.0, May Average,76.5724,12.4255
53,25.700000762939,1995.0, Jun Average,76.5724,12.4255
54,24.200000762939,1995.0, Jul Average,76.5724,12.4255
55,24.399999618529996,1995.0, Aug Average,76.5724,12.4255
56,25.0,1995.0, Sep Average,76.5724,12.4255
57,24.600000381470004,1995.0, Oct Average,76.5724,12.4255
58,23.899999618529996,1995.0, Nov Average,76.5724,12.4255
59,22.600000381470004,1995.0, Dec Average,76.5724,12.4255
60,23.100000381470004,1996.0, Jan Average,76.5724,12.4255
61,25.100000381470004,1996.0, Feb Average,76.5724,12.4255
62,27.300001144409,1996.0, Mar Average,76.5724,12.4255
63,28.0,1996.0, Apr Average,76.5724,12.4255
64,28.0,1996.0, May Average,76.5724,12.4255
65,24.899999618529996,1996.0, Jun Average,76.5724,12.4255
66,24.200000762939,1996.0, Jul Average,76.5724,12.4255
67,24.100000381470004,1996.0, Aug Average,76.5724,12.4255
68,24.600000381470004,1996.0, Sep Average,76.5724,12.4255
69,24.200000762939,1996.0, Oct Average,76.5724,12.4255
70,23.700000762939,1996.0, Nov Average,76.5724,12.4255
71,22.300001144409,1996.0, Dec Average,76.5724,12.4255
72,22.800001144409,1997.0, Jan Average,76.5724,12.4255
73,24.800001144409,1997.0, Feb Average,76.5724,12.4255
74,27.100000381470004,1997.0, Mar Average,76.5724,12.4255
75,27.5,1997.0, Apr Average,76.5724,12.4255
76,27.600000381470004,1997.0, May Average,76.5724,12.4255
77,25.800001144409,1997.0, Jun Average,76.5724,12.4255
78,24.800001144409,1997.0, Jul Average,76.5724,12.4255
79,24.600000381470004,1997.0, Aug Average,76.5724,12.4255
80,25.100000381470004,1997.0, Sep Average,76.5724,12.4255
81,25.0,1997.0, Oct Average,76.5724,12.4255
82,24.200000762939,1997.0, Nov Average,76.5724,12.4255
83,23.700000762939,1997.0, Dec Average,76.5724,12.4255
84,24.200000762939,1998.0, Jan Average,76.5724,12.4255
85,26.100000381470004,1998.0, Feb Average,76.5724,12.4255
86,27.899999618529996,1998.0, Mar Average,76.5724,12.4255
87,29.200000762939,1998.0, Apr Average,76.5724,12.4255
88,28.100000381470004,1998.0, May Average,76.5724,12.4255
89,26.100000381470004,1998.0, Jun Average,76.5724,12.4255
90,24.600000381470004,1998.0, Jul Average,76.5724,12.4255
91,24.5,1998.0, Aug Average,76.5724,12.4255
92,24.700000762939,1998.0, Sep Average,76.5724,12.4255
93,24.5,1998.0, Oct Average,76.5724,12.4255
94,23.800001144409,1998.0, Nov Average,76.5724,12.4255
95,22.600000381470004,1998.0, Dec Average,76.5724,12.4255
96,22.700000762939,1999.0, Jan Average,76.5724,12.4255
97,25.200000762939,1999.0, Feb Average,76.5724,12.4255
98,27.700000762939,1999.0, Mar Average,76.5724,12.4255
99,28.200000762939,1999.0, Apr Average,76.5724,12.4255
100,26.0,1999.0, May Average,76.5724,12.4255
101,24.600000381470004,1999.0, Jun Average,76.5724,12.4255
102,23.899999618529996,1999.0, Jul Average,76.5724,12.4255
