Temperature - (Celsius), Year, Statistics, Longitude, Latitude
22.800001144409, 1991, Jan Average, 76.0218, 12.8138
24.300001144409, 1991, Feb Average, 76.0218, 12.8138
26.60000038147, 1991, Mar Average, 76.0218, 12.8138
27.700000762939, 1991, Apr Average, 76.0218, 12.8138
26.89999961853, 1991, May Average, 76.0218, 12.8138
23.5, 1991, Jun Average, 76.0218, 12.8138
22.700000762939, 1991, Jul Average, 76.0218, 12.8138
22.60000038147, 1991, Aug Average, 76.0218, 12.8138
24.10000038147, 1991, Sep Average, 76.0218, 12.8138
23.60000038147, 1991, Oct Average, 76.0218, 12.8138
22.800001144409, 1991, Nov Average, 76.0218, 12.8138
21.5, 1991, Dec Average, 76.0218, 12.8138
21.5, 1992, Jan Average, 76.0218, 12.8138
23.89999961853, 1992, Feb Average, 76.0218, 12.8138
25.800001144409, 1992, Mar Average, 76.0218, 12.8138
27.300001144409, 1992, Apr Average, 76.0218, 12.8138
26.10000038147, 1992, May Average, 76.0218, 12.8138
23.89999961853, 1992, Jun Average, 76.0218, 12.8138
23, 1992, Jul Average, 76.0218, 12.8138
22.60000038147, 1992, Aug Average, 76.0218, 12.8138
23.60000038147, 1992, Sep Average, 76.0218, 12.8138
23.700000762939, 1992, Oct Average, 76.0218, 12.8138
23.200000762939, 1992, Nov Average, 76.0218, 12.8138
21.300001144409, 1992, Dec Average, 76.0218, 12.8138
22, 1993, Jan Average, 76.0218, 12.8138
23.89999961853, 1993, Feb Average, 76.0218, 12.8138
26.10000038147, 1993, Mar Average, 76.0218, 12.8138
27.39999961853, 1993, Apr Average, 76.0218, 12.8138
26.700000762939, 1993, May Average, 76.0218, 12.8138
24.200000762939, 1993, Jun Average, 76.0218, 12.8138
22.800001144409, 1993, Jul Average, 76.0218, 12.8138
23.10000038147, 1993, Aug Average, 76.0218, 12.8138
23.39999961853, 1993, Sep Average, 76.0218, 12.8138
23.60000038147, 1993, Oct Average, 76.0218, 12.8138
22.89999961853, 1993, Nov Average, 76.0218, 12.8138
21.300001144409, 1993, Dec Average, 76.0218, 12.8138
22.39999961853, 1994, Jan Average, 76.0218, 12.8138
24.200000762939, 1994, Feb Average, 76.0218, 12.8138
26.39999961853, 1994, Mar Average, 76.0218, 12.8138
27.300001144409, 1994, Apr Average, 76.0218, 12.8138
26.700000762939, 1994, May Average, 76.0218, 12.8138
23.89999961853, 1994, Jun Average, 76.0218, 12.8138
22.60000038147, 1994, Jul Average, 76.0218, 12.8138
22.89999961853, 1994, Aug Average, 76.0218, 12.8138
23.700000762939, 1994, Sep Average, 76.0218, 12.8138
23.5, 1994, Oct Average, 76.0218, 12.8138
22.300001144409, 1994, Nov Average, 76.0218, 12.8138
21.200000762939, 1994, Dec Average, 76.0218, 12.8138
22, 1995, Jan Average, 76.0218, 12.8138
24.300001144409, 1995, Feb Average, 76.0218, 12.8138
26, 1995, Mar Average, 76.0218, 12.8138
27.200000762939, 1995, Apr Average, 76.0218, 12.8138
25.39999961853, 1995, May Average, 76.0218, 12.8138
24.5, 1995, Jun Average, 76.0218, 12.8138
22.89999961853, 1995, Jul Average, 76.0218, 12.8138
23.200000762939, 1995, Aug Average, 76.0218, 12.8138
23.800001144409, 1995, Sep Average, 76.0218, 12.8138
23.800001144409, 1995, Oct Average, 76.0218, 12.8138
23.200000762939, 1995, Nov Average, 76.0218, 12.8138
21.800001144409, 1995, Dec Average, 76.0218, 12.8138
22.5, 1996, Jan Average, 76.0218, 12.8138
24.10000038147, 1996, Feb Average, 76.0218, 12.8138
26.5, 1996, Mar Average, 76.0218, 12.8138
27, 1996, Apr Average, 76.0218, 12.8138
26.89999961853, 1996, May Average, 76.0218, 12.8138
23.800001144409, 1996, Jun Average, 76.0218, 12.8138
23, 1996, Jul Average, 76.0218, 12.8138
