Rainfall - (MM), Year, Statistics, Longitude, Latitude
0.60000002384186, 1991, Jan Average, 76.5724, 12.4255
2.5, 1991, Feb Average, 76.5724, 12.4255
2.2999999523163, 1991, Mar Average, 76.5724, 12.4255
69.400001525879, 1991, Apr Average, 76.5724, 12.4255
274.80001831055, 1991, May Average, 76.5724, 12.4255
132.30000305176, 1991, Jun Average, 76.5724, 12.4255
90.300003051758, 1991, Jul Average, 76.5724, 12.4255
86.700004577637, 1991, Aug Average, 76.5724, 12.4255
79.700004577637, 1991, Sep Average, 76.5724, 12.4255
204.10000610352, 1991, Oct Average, 76.5724, 12.4255
106.59999847412, 1991, Nov Average, 76.5724, 12.4255
0.90000003576279, 1991, Dec Average, 76.5724, 12.4255
0.20000000298023, 1992, Jan Average, 76.5724, 12.4255
0, 1992, Feb Average, 76.5724, 12.4255
0, 1992, Mar Average, 76.5724, 12.4255
32, 1992, Apr Average, 76.5724, 12.4255
90.599998474121, 1992, May Average, 76.5724, 12.4255
104.70000457764, 1992, Jun Average, 76.5724, 12.4255
99.300003051758, 1992, Jul Average, 76.5724, 12.4255
76.599998474121, 1992, Aug Average, 76.5724, 12.4255
111.5, 1992, Sep Average, 76.5724, 12.4255
145.30000305176, 1992, Oct Average, 76.5724, 12.4255
81.599998474121, 1992, Nov Average, 76.5724, 12.4255
2.6000001430511, 1992, Dec Average, 76.5724, 12.4255
0, 1993, Jan Average, 76.5724, 12.4255
0.20000000298023, 1993, Feb Average, 76.5724, 12.4255
12, 1993, Mar Average, 76.5724, 12.4255
34.799999237061, 1993, Apr Average, 76.5724, 12.4255
98.200004577637, 1993, May Average, 76.5724, 12.4255
97.900001525879, 1993, Jun Average, 76.5724, 12.4255
89.400001525879, 1993, Jul Average, 76.5724, 12.4255
63.799999237061, 1993, Aug Average, 76.5724, 12.4255
83.900001525879, 1993, Sep Average, 76.5724, 12.4255
177.30000305176, 1993, Oct Average, 76.5724, 12.4255
65, 1993, Nov Average, 76.5724, 12.4255
35.900001525879, 1993, Dec Average, 76.5724, 12.4255
0.10000000149012, 1994, Jan Average, 76.5724, 12.4255
1.7000000476837, 1994, Feb Average, 76.5724, 12.4255
10.199999809265, 1994, Mar Average, 76.5724, 12.4255
73.700004577637, 1994, Apr Average, 76.5724, 12.4255
263.20001220703, 1994, May Average, 76.5724, 12.4255
165.90000915527, 1994, Jun Average, 76.5724, 12.4255
68.099998474121, 1994, Jul Average, 76.5724, 12.4255
57.900001525879, 1994, Aug Average, 76.5724, 12.4255
72.800003051758, 1994, Sep Average, 76.5724, 12.4255
206.69999694824, 1994, Oct Average, 76.5724, 12.4255
44, 1994, Nov Average, 76.5724, 12.4255
5.5999999046326, 1994, Dec Average, 76.5724, 12.4255
6.5, 1995, Jan Average, 76.5724, 12.4255
0.20000000298023, 1995, Feb Average, 76.5724, 12.4255
10.5, 1995, Mar Average, 76.5724, 12.4255
51.700000762939, 1995, Apr Average, 76.5724, 12.4255
117, 1995, May Average, 76.5724, 12.4255
84.200004577637, 1995, Jun Average, 76.5724, 12.4255
105.5, 1995, Jul Average, 76.5724, 12.4255
125.90000152588, 1995, Aug Average, 76.5724, 12.4255
122.30000305176, 1995, Sep Average, 76.5724, 12.4255
113, 1995, Oct Average, 76.5724, 12.4255
26.300001144409, 1995, Nov Average, 76.5724, 12.4255
0.10000000149012, 1995, Dec Average, 76.5724, 12.4255
0.40000000596046, 1996, Jan Average, 76.5724, 12.4255
0.69999998807907, 1996, Feb Average, 76.5724, 12.4255
11.699999809265, 1996, Mar Average, 76.5724, 12.4255
69.800003051758, 1996, Apr Average, 76.5724, 12.4255
84.400001525879, 1996, May Average, 76.5724, 12.4255
140.80000305176, 1996, Jun Average, 76.5724, 12.4255
84.200004577637, 1996, Jul Average, 76.5724, 12.4255
122.59999847412, 1996, Aug Average, 76.5724, 12.4255
130.30000305176, 1996, Sep Average, 76.5724, 12.4255
112.40000152588, 1996, Oct Average, 76.5724, 12.4255
9.1999998092651, 1996, Nov Average, 76.5724, 12.4255
26, 1996, Dec Average, 76.5724, 12.4255
2.1000001430511, 1997, Jan Average, 76.5724, 12.4255
0, 1997, Feb Average, 76.5724, 12.4255
17.10000038147, 1997, Mar Average, 76.5724, 12.4255
53.600002288818, 1997, Apr Average, 76.5724, 12.4255
64.099998474121, 1997, May Average, 76.5724, 12.4255
174.90000915527, 1997, Jun Average, 76.5724, 12.4255
55.700000762939, 1997, Jul Average, 76.5724, 12.4255
97.599998474121, 1997, Aug Average, 76.5724, 12.4255
135.19999694824, 1997, Sep Average, 76.5724, 12.4255
235.40000915527, 1997, Oct Average, 76.5724, 12.4255
131.60000610352, 1997, Nov Average, 76.5724, 12.4255
22.60000038147, 1997, Dec Average, 76.5724, 12.4255
0.20000000298023, 1998, Jan Average, 76.5724, 12.4255
5, 1998, Feb Average, 76.5724, 12.4255
2.9000000953674, 1998, Mar Average, 76.5724, 12.4255
54.799999237061, 1998, Apr Average, 76.5724, 12.4255
170.80000305176, 1998, May Average, 76.5724, 12.4255
38.200000762939, 1998, Jun Average, 76.5724, 12.4255
164.69999694824, 1998, Jul Average, 76.5724, 12.4255
159.69999694824, 1998, Aug Average, 76.5724, 12.4255
171.90000915527, 1998, Sep Average, 76.5724, 12.4255
194.5, 1998, Oct Average, 76.5724, 12.4255
52.600002288818, 1998, Nov Average, 76.5724, 12.4255
35.200000762939, 1998, Dec Average, 76.5724, 12.4255
0.10000000149012, 1999, Jan Average, 76.5724, 12.4255
6.9000000953674, 1999, Feb Average, 76.5724, 12.4255
6.9000000953674, 1999, Mar Average, 76.5724, 12.4255
73.599998474121, 1999, Apr Average, 76.5724, 12.4255
163.5, 1999, May Average, 76.5724, 12.4255
67.200004577637, 1999, Jun Average, 76.5724, 12.4255
90.800003051758, 1999, Jul Average, 76.5724, 12.4255
52.700000762939, 1999, Aug Average, 76.5724, 12.4255
76.200004577637, 1999, Sep Average, 76.5724, 12.4255
214.19999694824, 1999, Oct Average, 76.5724, 12.4255
51.600002288818, 1999, Nov Average, 76.5724, 12.4255
7.5999999046326, 1999, Dec Average, 76.5724, 12.4255
0.60000002384186, 2000, Jan Average, 76.5724, 12.4255
5.5999999046326, 2000, Feb Average, 76.5724, 12.4255
0.30000001192093, 2000, Mar Average, 76.5724, 12.4255
72.5, 2000, Apr Average, 76.5724, 12.4255
77.900001525879, 2000, May Average, 76.5724, 12.4255
64.700004577637, 2000, Jun Average, 76.5724, 12.4255
82.900001525879, 2000, Jul Average, 76.5724, 12.4255
144.30000305176, 2000, Aug Average, 76.5724, 12.4255
150.30000305176, 2000, Sep Average, 76.5724, 12.4255
186.90000915527, 2000, Oct Average, 76.5724, 12.4255
48.5, 2000, Nov Average, 76.5724, 12.4255
25.700000762939, 2000, Dec Average, 76.5724, 12.4255
5.2000002861023, 2001, Jan Average, 76.5724, 12.4255
3, 2001, Feb Average, 76.5724, 12.4255
1, 2001, Mar Average, 76.5724, 12.4255
143.90000915527, 2001, Apr Average, 76.5724, 12.4255
59.400001525879, 2001, May Average, 76.5724, 12.4255
34.200000762939, 2001, Jun Average, 76.5724, 12.4255
105, 2001, Jul Average, 76.5724, 12.4255
61.799999237061, 2001, Aug Average, 76.5724, 12.4255
123.80000305176, 2001, Sep Average, 76.5724, 12.4255
155.10000610352, 2001, Oct Average, 76.5724, 12.4255
34.5, 2001, Nov Average, 76.5724, 12.4255
5.7000002861023, 2001, Dec Average, 76.5724, 12.4255
0.20000000298023, 2002, Jan Average, 76.5724, 12.4255
0.10000000149012, 2002, Feb Average, 76.5724, 12.4255
1.8000000715256, 2002, Mar Average, 76.5724, 12.4255
13.400000572205, 2002, Apr Average, 76.5724, 12.4255
149.69999694824, 2002, May Average, 76.5724, 12.4255
116.20000457764, 2002, Jun Average, 76.5724, 12.4255
43.799999237061, 2002, Jul Average, 76.5724, 12.4255
49.5, 2002, Aug Average, 76.5724, 12.4255
63.799999237061, 2002, Sep Average, 76.5724, 12.4255
236.90000915527, 2002, Oct Average, 76.5724, 12.4255
52.799999237061, 2002, Nov Average, 76.5724, 12.4255
2.5, 2002, Dec Average, 76.5724, 12.4255
0, 2003, Jan Average, 76.5724, 12.4255
2.6000001430511, 2003, Feb Average, 76.5724, 12.4255
3, 2003, Mar Average, 76.5724, 12.4255
106, 2003, Apr Average, 76.5724, 12.4255
15.199999809265, 2003, May Average, 76.5724, 12.4255
72.700004577637, 2003, Jun Average, 76.5724, 12.4255
96.200004577637, 2003, Jul Average, 76.5724, 12.4255
74.599998474121, 2003, Aug Average, 76.5724, 12.4255
63.799999237061, 2003, Sep Average, 76.5724, 12.4255
