Temperature - (Celsius), Year, Statistics, Country, ISO3
16.8, 1991, Jan Average, India, IND
20.1, 1991, Feb Average, India, IND
24.3, 1991, Mar Average, India, IND
27.5, 1991, Apr Average, India, IND
30.2, 1991, May Average, India, IND
28.9, 1991, Jun Average, India, IND
27.6, 1991, Jul Average, India, IND
26.3, 1991, Aug Average, India, IND
26.5, 1991, Sep Average, India, IND
24.7, 1991, Oct Average, India, IND
21.0, 1991, Nov Average, India, IND
17.8, 1991, Dec Average, India, IND
17.1, 1992, Jan Average, India, IND
18.6, 1992, Feb Average, India, IND
24.1, 1992, Mar Average, India, IND
27.7, 1992, Apr Average, India, IND
29.5, 1992, May Average, India, IND
29.9, 1992, Jun Average, India, IND
27.6, 1992, Jul Average, India, IND
26.3, 1992, Aug Average, India, IND
25.9, 1992, Sep Average, India, IND
24.7, 1992, Oct Average, India, IND
21.1, 1992, Nov Average, India, IND
17.9, 1992, Dec Average, India, IND
17.5, 1993, Jan Average, India, IND
20.3, 1993, Feb Average, India, IND
22.9, 1993, Mar Average, India, IND
27.5, 1993, Apr Average, India, IND
30.3, 1993, May Average, India, IND
29.9, 1993, Jun Average, India, IND
27.3, 1993, Jul Average, India, IND
26.8, 1993, Aug Average, India, IND
26.2, 1993, Sep Average, India, IND
25.1, 1993, Oct Average, India, IND
21.5, 1993, Nov Average, India, IND
18.0, 1993, Dec Average, India, IND
18.1, 1994, Jan Average, India, IND
19.3, 1994, Feb Average, India, IND
25.0, 1994, Mar Average, India, IND
27.2, 1994, Apr Average, India, IND
30.6, 1994, May Average, India, IND
29.2, 1994, Jun Average, India, IND
26.6, 1994, Jul Average, India, IND
26.3, 1994, Aug Average, India, IND
26.1, 1994, Sep Average, India, IND
24.6, 1994, Oct Average, India, IND
21.1, 1994, Nov Average, India, IND
17.7, 1994, Dec Average, India, IND
16.3, 1995, Jan Average, India, IND
19.8, 1995, Feb Average, India, IND
23.4, 1995, Mar Average, India, IND
27.3, 1995, Apr Average, India, IND
30.0, 1995, May Average, India, IND
30.6, 1995, Jun Average, India, IND
27.4, 1995, Jul Average, India, IND
26.8, 1995, Aug Average, India, IND
26.6, 1995, Sep Average, India, IND
25.4, 1995, Oct Average, India, IND
21.4, 1995, Nov Average, India, IND
18.3, 1995, Dec Average, India, IND
17.9, 1996, Jan Average, India, IND
20.2, 1996, Feb Average, India, IND
25.1, 1996, Mar Average, India, IND
27.9, 1996, Apr Average, India, IND
30.3, 1996, May Average, India, IND
29.3, 1996, Jun Average, India, IND
27.4, 1996, Jul Average, India, IND
26.1, 1996, Aug Average, India, IND
26.5, 1996, Sep Average, India, IND
24.5, 1996, Oct Average, India, IND
21.1, 1996, Nov Average, India, IND
17.8, 1996, Dec Average, India, IND
16.7, 1997, Jan Average, India, IND
19.0, 1997, Feb Average, India, IND
24.1, 1997, Mar Average, India, IND
26.4, 1997, Apr Average, India, IND
29.2, 1997, May Average, India, IND
29.0, 1997, Jun Average, India, IND
27.5, 1997, Jul Average, India, IND
26.6, 1997, Aug Average, India, IND
26.3, 1997, Sep Average, India, IND
24.1, 1997, Oct Average, India, IND
21.6, 1997, Nov Average, India, IND
17.7, 1997, Dec Average, India, IND
17.5, 1998, Jan Average, India, IND
20.0, 1998, Feb Average, India, IND
23.4, 1998, Mar Average, India, IND
28.3, 1998, Apr Average, India, IND
31.0, 1998, May Average, India, IND
30.4, 1998, Jun Average, India, IND
27.6, 1998, Jul Average, India, IND
27.1, 1998, Aug Average, India, IND
26.7, 1998, Sep Average, India, IND
25.6, 1998, Oct Average, India, IND
21.8, 1998, Nov Average, India, IND
18.0, 1998, Dec Average, India, IND
17.0, 1999, Jan Average, India, IND
20.7, 1999, Feb Average, India, IND
24.9, 1999, Mar Average, India, IND
29.1, 1999, Apr Average, India, IND
29.8, 1999, May Average, India, IND
28.9, 1999, Jun Average, India, IND
27.2, 1999, Jul Average, India, IND
26.6, 1999, Aug Average, India, IND
26.5, 1999, Sep Average, India, IND
25.2, 1999, Oct Average, India, IND
21.9, 1999, Nov Average, India, IND
18.3, 1999, Dec Average, India, IND
17.9, 2000, Jan Average, India, IND
19.0, 2000, Feb Average, India, IND
23.5, 2000, Mar Average, India, IND
29.0, 2000, Apr Average, India, IND
30.1, 2000, May Average, India, IND
28.7, 2000, Jun Average, India, IND
27.0, 2000, Jul Average, India, IND
26.8, 2000, Aug Average, India, IND
26.5, 2000, Sep Average, India, IND
25.8, 2000, Oct Average, India, IND
22.1, 2000, Nov Average, India, IND
18.4, 2000, Dec Average, India, IND
17.6, 2001, Jan Average, India, IND
20.7, 2001, Feb Average, India, IND
24.4, 2001, Mar Average, India, IND
27.8, 2001, Apr Average, India, IND
30.4, 2001, May Average, India, IND
28.4, 2001, Jun Average, India, IND
27.0, 2001, Jul Average, India, IND
26.8, 2001, Aug Average, India, IND
27.1, 2001, Sep Average, India, IND
