,State,Reservoirs
0,Maharashtra,1
1,Karnataka,1
2,Andhra Pradesh,1
3,Tamil Nadu,1
4,Kerala,1
5,Delhi,1
6,Uttar Pradesh,1
7,West Bengal,1
8,Odisha,1
9,Telangana,1
10,Rajasthan,1
11,Chattisgarh,1
12,Bihar,1
13,Haryana,1
14,Assam,1
15,Gujarat,1
16,Madhya Pradesh,1
17,Punjab,1
18,Jammu & Kashmir,1
19,Jharkhand,1
20,Uttarakhand,1
21,Goa,1
22,Himachal Pradesh,1
23,Puducherry,1
24,Tripura,1
25,Manipur,1
26,Arunachal Pradesh,1
27,Meghalaya,1
28,Nagaland,1
29,Ladakh,1
30,Sikkim,1
31,Andaman & Nicobar,1
32,Mizoram,1
33,Dadra and Nagar Haveli and Daman and Diu,1
34,Chhattisgarh,1
